轮次, 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度,类型
1, 423s , 1.2909 , 0.6364 , 0.7886 , 0.5557 , 0.5557 , 0.8162,esim_word
2, 420s , 0.8588 , 0.5501 , 0.8175 , 0.5161 , 0.5161 , 0.8162,esim_word
3, 423s , 0.7780 , 0.4952 , 0.8186 , 0.4943 , 0.4943 , 0.8162,esim_word
4, 420s , 0.7146 , 0.4506 , 0.8222 , 0.5045 , 0.5045 , 0.8189,esim_word
5, 423s , 0.6529 , 0.4065 , 0.8326 , 0.4957 , 0.4957 , 0.8208,esim_word
6, 421s , 0.5843 , 0.3586 , 0.8500 , 0.5333 , 0.5333 , 0.8251,esim_word
7, 424s , 0.5052 , 0.3056 , 0.8765 , 0.5450 , 0.5450 , 0.8236,esim_word
8, 421s , 0.4350 , 0.2623 , 0.8982 , 0.5831 , 0.5831 , 0.8232,esim_word
9, 421s , 0.3653 , 0.2172 , 0.9173 , 0.6311 , 0.6311 , 0.8228,esim_word
10, 422s , 0.3111 , 0.1851 , 0.9317 , 0.6933 , 0.6933 , 0.8255,esim_word
11, 425s , 0.2700 , 0.1589 , 0.9420 , 0.7497 , 0.7497 , 0.8236,esim_word
