轮次, 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度,类型
1, 337s , 0.8138 , 0.5132 , 0.8182 , 0.4803 , 0.4803 , 0.8197,dssm_both
2, 335s , 0.7051 , 0.4492 , 0.8254 , 0.4550 , 0.4550 , 0.8286,dssm_both
3, 334s , 0.6473 , 0.4069 , 0.8357 , 0.4400 , 0.4400 , 0.8361,dssm_both
4, 335s , 0.5820 , 0.3606 , 0.8521 , 0.4517 , 0.4517 , 0.8372,dssm_both
5, 334s , 0.5009 , 0.3064 , 0.8748 , 0.4920 , 0.4920 , 0.8365,dssm_both
6, 334s , 0.4141 , 0.2509 , 0.9020 , 0.5291 , 0.5291 , 0.8361,dssm_both
7, 334s , 0.3345 , 0.2012 , 0.9236 , 0.5763 , 0.5763 , 0.8361,dssm_both
8, 334s , 0.2689 , 0.1614 , 0.9416 , 0.6358 , 0.6358 , 0.8326,dssm_both
9, 334s , 0.2195 , 0.1305 , 0.9530 , 0.7051 , 0.7051 , 0.8322,dssm_both
10, 334s , 0.1773 , 0.1044 , 0.9634 , 0.7601 , 0.7601 , 0.8306,dssm_both
11, 334s , 0.1487 , 0.0868 , 0.9691 , 0.8189 , 0.8189 , 0.8244,dssm_both
